generation_id,pokemon_id,stat_id,value
1,1,1,45
1,1,2,49
1,1,3,49
1,1,4,45
1,1,5,65
1,2,1,60
1,2,2,62
1,2,3,63
1,2,4,60
1,2,5,80
1,3,1,80
1,3,2,82
1,3,3,83
1,3,4,80
1,3,5,100
1,4,1,39
1,4,2,52
1,4,3,43
1,4,4,65
1,4,5,50
1,5,1,58
1,5,2,64
1,5,3,58
1,5,4,80
1,5,5,65
1,6,1,78
1,6,2,84
1,6,3,78
1,6,4,100
1,6,5,85
1,7,1,44
1,7,2,48
1,7,3,65
1,7,4,43
1,7,5,50
1,8,1,59
1,8,2,63
1,8,3,80
1,8,4,58
1,8,5,65
1,9,1,79
1,9,2,83
1,9,3,100
1,9,4,78
1,9,5,85
1,10,1,45
1,10,2,30
1,10,3,35
1,10,4,45
1,10,5,20
1,11,1,50
1,11,2,20
1,11,3,55
1,11,4,30
1,11,5,25
1,12,1,60
1,12,2,45
1,12,3,50
1,12,4,70
1,12,5,80
1,13,1,40
1,13,2,35
1,13,3,30
1,13,4,50
1,13,5,20
1,14,1,45
1,14,2,25
1,14,3,50
1,14,4,35
1,14,5,25
1,15,1,65
1,15,2,80
1,15,3,40
1,15,4,75
1,15,5,45
1,16,1,40
1,16,2,45
1,16,3,40
1,16,4,56
1,16,5,35
1,17,1,63
1,17,2,60
1,17,3,55
1,17,4,71
1,17,5,50
1,18,1,83
1,18,2,80
1,18,3,75
1,18,4,91
1,18,5,70
1,19,1,30
1,19,2,56
1,19,3,35
1,19,4,72
1,19,5,25
1,20,1,55
1,20,2,81
1,20,3,60
1,20,4,97
1,20,5,50
1,21,1,40
1,21,2,60
1,21,3,30
1,21,4,70
1,21,5,31
1,22,1,65
1,22,2,90
1,22,3,65
1,22,4,100
1,22,5,61
1,23,1,35
1,23,2,60
1,23,3,44
1,23,4,55
1,23,5,40
1,24,1,60
1,24,2,85
1,24,3,69
1,24,4,80
1,24,5,65
1,25,1,35
1,25,2,55
1,25,3,30
1,25,4,90
1,25,5,50
1,26,1,60
1,26,2,90
1,26,3,55
1,26,4,100
1,26,5,90
1,27,1,50
1,27,2,75
1,27,3,85
1,27,4,40
1,27,5,30
1,28,1,75
1,28,2,100
1,28,3,110
1,28,4,65
1,28,5,55
1,29,1,55
1,29,2,47
1,29,3,52
1,29,4,41
1,29,5,40
1,30,1,70
1,30,2,62
1,30,3,67
1,30,4,56
1,30,5,55
1,31,1,90
1,31,2,82
1,31,3,87
1,31,4,76
1,31,5,75
1,32,1,46
1,32,2,57
1,32,3,40
1,32,4,50
1,32,5,40
1,33,1,61
1,33,2,72
1,33,3,57
1,33,4,65
1,33,5,55
1,34,1,81
1,34,2,92
1,34,3,77
